tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan ,kewarganegaraan,jenis_kelamin,jumlah
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,MAKASAR,WNA,Laki-Laki,2
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,PINANG RANTI,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,KEBON PALA,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,WNA,Laki-Laki,3
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,CIRACAS,WNA,Laki-Laki,1
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,CIBUBUR,WNA,Laki-Laki,5
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,WNA,Laki-Laki,1
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,SUSUKAN,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,CIRACAS,RAMBUTAN,WNA,Laki-Laki,1
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,MUNJUL,WNA,Laki-Laki,0
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,SETU,WNA,Laki-Laki,7
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,WNA,Laki-Laki,2
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,WNA,Laki-Laki,1
2020,DKI Jakarta,JAKARTA TIMUR,CIPAYUNG,CEGER,WNA,Laki-Laki,1
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,WNA,Perempuan,0
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,WNA,Perempuan,0
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,WNA,Perempuan,0
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,WNA,Perempuan,0
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,WNA,Perempuan,0
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,WNA,Perempuan,9
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,WNA,Perempuan,9
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,WNA,Perempuan,45
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,WNA,Perempuan,21
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,WNA,Perempuan,25
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,WNA,Perempuan,7
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,WNA,Perempuan,39
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,WNA,Perempuan,10
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,WNA,Perempuan,9
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,SENEN,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KENARI,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,PASEBAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KRAMAT,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KWITANG,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,BUNGUR,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,WNA,Perempuan,18
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,WNA,Perempuan,16
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,CIKINI,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,GONDANGDIA,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,KEBON SIRIH,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,GELORA,WNA,Perempuan,8
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,WNA,Perempuan,13
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,WNA,Perempuan,9
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,WNA,Perempuan,12
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,GALUR,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,WNA,Perempuan,15
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,WNA,Perempuan,24
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,WNA,Perempuan,36
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,WNA,Perempuan,9
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PLUIT,WNA,Perempuan,50
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,WNA,Perempuan,21
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,WNA,Perempuan,25
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,WNA,Perempuan,67
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU SELATAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,CILINCING,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,SUKAPURA,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,KALI BARU,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER TIMUR,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,ROROTAN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,CILINCING,SEMPER BARAT,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,WNA,Perempuan,15
2020,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,WNA,Perempuan,23
2020,DKI Jakarta,JAKARTA UTARA,PADEMANGAN,ANCOL,WNA,Perempuan,29
2020,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,WNA,Perempuan,18
2020,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,WNA,Perempuan,19
2020,DKI Jakarta,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,WNA,Perempuan,54
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,WNA,Perempuan,8
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,KAPUK,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,WNA,Perempuan,18
2020,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,WNA,Perempuan,40
2020,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,WNA,Perempuan,7
2020,DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,WNA,Perempuan,7
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KRUKUT,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MAPHAR,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,TANGKI,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,GLODOK,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA BARAT,TAMAN SARI,PINANGSIA,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,TAMBORA,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,KALI ANYAR,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,DURI UTARA,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,TANAH SEREAL,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,KERENDANG,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,ANGKE,WNA,Perempuan,8
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,PEKOJAN,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,ROA MALAKA,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA BARAT,TAMBORA,DURI SELATAN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,DURI KEPA,WNA,Perempuan,17
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,WNA,Perempuan,9
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,WNA,Perempuan,11
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,KALIDERES,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,SEMANAN,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,TEGAL ALUR,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,KAMAL,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,PEGADUNGAN,WNA,Perempuan,9
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,PALMERAH,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,SLIPI,WNA,Perempuan,7
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,JATI PULO,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,KEMANGGISAN,WNA,Perempuan,12
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,WNA,Perempuan,7
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,SRENGSENG,WNA,Perempuan,8
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,JOGLO,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,WNA,Perempuan,18
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,TEBET TIMUR,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,TEBET BARAT,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,MENTENG DALAM,WNA,Perempuan,16
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,KEBON BARU,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,BUKIT DURI,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,MANGGARAI,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,WNA,Perempuan,11
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,WNA,Perempuan,10
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,GUNTUR,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,WNA,Perempuan,14
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,WNA,Perempuan,57
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,WNA,Perempuan,18
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,WNA,Perempuan,12
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,WNA,Perempuan,11
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,WNA,Perempuan,48
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,WNA,Perempuan,30
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,WNA,Perempuan,32
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,WNA,Perempuan,40
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,WNA,Perempuan,20
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,PONDOK LABU,WNA,Perempuan,7
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,WNA,Perempuan,18
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,WNA,Perempuan,27
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,WNA,Perempuan,30
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,PULO,WNA,Perempuan,19
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,WNA,Perempuan,35
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,PANCORAN,WNA,Perempuan,12
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,KALIBATA,WNA,Perempuan,19
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,RAWA JATI,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,DUREN TIGA,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,PENGADEGAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,CIKOKO,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,WNA,Perempuan,10
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,WNA,Perempuan,4
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,WNA,Perempuan,12
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,WNA,Perempuan,6
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,CIPINANG,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,WNA,Perempuan,20
2020,DKI Jakarta,JAKARTA TIMUR,PULO GADUNG,JATI,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,BALI MESTER,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,WNA,Perempuan,11
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,WNA,Perempuan,5
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,WNA,Perempuan,3
2020,DKI Jakarta,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,DUKUH,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,WNA,Perempuan,2
2020,DKI Jakarta,JAKARTA TIMUR,KRAMAT JATI,CAWANG,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,GEDONG,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,BARU,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,WNA,Perempuan,1
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,KALISARI,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,PASAR REBO,PEKAYON,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,JATINEGARA,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,RAWA TERATE,WNA,Perempuan,0
2020,DKI Jakarta,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,WNA,Perempuan,0
